id,question,answer,keywords,category,created_at,user_question,confirmation_request,comment
34c84fe2,テロ支援国家の国民はビザは必要ですか?,はい、テロ支援国家の国民は特別な条件が適用されるため、ビザが必要です。ただし、自動更新の対象外となります。,テロ支援国家;ビザ;自動更新,AI生成,2025-10-23 15:12:05,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
6fddfd3d,商用で米国に滞在する場合の許可される活動は何ですか?,商用の場合、取引先との会合、会議への参加、契約交渉などが許可されます。ただし、有給雇用は認められません。,商用;活動;有給雇用,AI生成,2025-10-23 15:12:05,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
0c719b22,I-94が有効であれば、ビザが無効でも再入国できますか?,はい、I-94が有効な場合、ビザが無効でも一定の条件を満たせば自動的に再入国できます。ただし、一定の例外があります。,I-94;自動更新;再入国,AI生成,2025-10-23 15:12:05,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
f8a58182,F学生ビザ所持者がキューバに渡航した場合、ビザは必要ですか?,はい、F学生ビザ所持者がキューバに渡航した場合、新しいビザが必要です。自動更新の対象外となります。,F学生ビザ;キューバ;自動更新,AI生成,2025-10-23 15:12:05,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
5b3aee45,M学生ビザ所持者がカナダ以外の国に渡航した場合、ビザは必要ですか?,はい、M学生ビザ所持者がカナダ以外の国に渡航した場合、新しいビザが必要です。自動更新の対象外となります。,M学生ビザ;渡航;自動更新,AI生成,2025-10-23 15:12:05,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
cbca77c6,米国滞在中の住居費は自己負担が必要ですか?,商用で滞在する際は、住居費、食費など合理的な範囲の出費については、米国拠点が負担することができます。ただし、給与の支払いは認められていません。,住居費;宿泊費;滞在費;自己負担;拠点負担,AI生成,2025-10-23 15:12:05,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
4f7b9271,ESTAの審査結果はどこで確認できますか?,ESTAの審査結果は、国土安全保障省のウェブサイトから確認することができます。ただし、情報は古いため、最新の状況については要確認です。,ESTA;審査結果;確認方法;国土安全保障省,AI生成,2025-10-23 15:12:05,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
5e337379,米国到着時の入国審査はどのように行われますか?,米国到着時は、入国審査官による面接と書類審査が行われます。申請内容の確認や、滞在目的や滞在予定などを聞かれる可能性があります。,入国審査;面接;書類審査;審査内容,AI生成,2025-10-23 15:12:05,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
9442128d,家族で米国に滞在する場合、ビザは別々に必要ですか?,はい、家族で米国に滞在する場合、それぞれが目的に応じたビザを取得する必要があります。例えば、観光の場合はB-1/B-2ビザ、就労の場合はE-2ビザなどが必要です。,家族滞在;ビザ;別個申請;目的別,AI生成,2025-10-23 15:12:05,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
72f65bfe,ビジネスで米国に滞在する際の職業制限はありますか?,ビジネス目的の場合、滞在中の活動が「執行、監督、または重要なスキルを必要とする」ものであれば許可されます。ただし、米国での雇用や給与は認められません。,ビジネス目的;職業制限;滞在中活動;雇用;給与,AI生成,2025-10-23 15:12:05,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
94c83933,中小企業でも管理職になれますか?,はい、中小企業が主に役員や管理職を中心とした職位を支援している場合、L カテゴリーのビザの下で認められます。,中小企業;管理職;L ビザ,AI生成,2025-10-23 15:30:30,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
53d51441,Eビザ登録が取り消される条件は何ですか?,Eビザ申請が5年間ない、またはEビザ保有者がいなくなると、Eビザ登録が取り消される可能性があります。ただし、一時的な不在の場合は抹消されないこともあります。,Eビザ;登録;取り消し,AI生成,2025-10-23 15:30:30,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
628fdca1,Eビザカンパニーの資格は何で喪失しますか?,"Eビザカンパニーの資格は、Part 1,2の情報に記載された内容に反すると喪失する可能性があります。",Eビザ;資格;喪失,AI生成,2025-10-23 15:30:30,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
d5e12027,非熟練労働者でも永住権は取得できますか?,はい、非熟練労働者(unskilled workers)でも永住権(EB-3(3))の取得が可能です。ただし、そのポジションが労働局のSchedule Bに記載されていない場合に限ります。,永住権;非熟練労働者;unskilled workers,AI生成,2025-10-23 15:30:30,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
cc86725f,ビザの有効期間はどのように決まりますか?,ビザの有効期間は国籍によって異なります。例えば日本人のBビザは通常10年ですが、ベトナム人は通常1年です。また審査する領事の判断で短くなることがあります。国務省のウェブサイトで国籍別の有効期間を確認できます。,ビザ;有効期間;国籍;期間,AI生成,2025-10-23 15:30:30,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
25c35d3d,語学学校でのビザはどのように扱われますか?,語学学校などの1か月のプログラムでも5年間のビザが発給されます。大学入学後も語学学校のビザが有効になります。ただし、5か月以上米国を離れる場合は新たにI-20を取得する必要があります。,語学学校;ビザ;I-20,AI生成,2025-10-23 15:30:30,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
6bac278f,同性パートナーでもビザは申請できますか？,同性婚が合法的な国であれば、配偶者として認められる可能性があります。しかし、日本は同性婚が認められていないため、同性パートナーはB-2ビザを申請する必要があります。ビザの発給は領事の判断によります。,同性婚;パートナーシップ;B-2ビザ,AI生成,2025-10-23 15:30:30,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
9ef2a015,子どもが21歳になった場合、どうすればいいですか?,子どもが21歳になった場合は、独立した合法的な滞在ステータスを取得する必要があります。例えば大学に通っている場合、21歳になる前にFビザの滞在ステータスに切り替える必要があります。,子ども;21歳;滞在ステータス;F-2ビザ,AI生成,2025-10-23 15:30:30,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
21c9f7a3,非正規滞在者でも永住権は取得できますか?,非正規滞在者は一般的に永住権を取得することはできません。ただし、特別な事情がある場合は例外的に永住権を取得できる可能性があります。永住権取得には一定の条件を満たす必要がありますので、詳細は専門家に確認することをおすすめします。,永住権;非正規滞在;特別条件,AI生成,2025-10-23 15:30:30,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
cfe70c69,退職した社員のビザはどうすればいいですか?,退職した社員のビザは有効期限が切れるため、速やかに移民局に連絡し、ビザ状況の変更手続きを行う必要があります。,退職;ビザ;社員,AI生成,2025-10-23 15:30:30,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
eeec2fca,Eビザ保有者の人数に制限はありますか?,Eビザ保有者の人数に特に制限はありません。ただし、日本人の割合が多い場合、Eビザの発給が難しくなる可能性があります。グリーンフィールドでは、ビザを保有する日本人の駐在員の人数がその他の社員の3倍を超える場合、状況を確認するようにしています。,Eビザ;人数制限;日本人割合,AI生成,2025-10-23 15:30:30,[自動生成] 米国ビザ申請の手引きVer.21..pdfから生成,0,
